customer_id,name,age,gender,transaction_amount,transaction_date
1,Laraine Medendorp,71,Female,93,01-06-2024
2,Eli Bockman,44,Male,81,16-06-2024
3,Arlin Dearle,71,Male,61,14-07-2023
4,Talbot ,63,Male,33,15-05-2023
5,Sheila-kathryn Calton,47,Female,56,15-07-2023
6,Curr Duckhouse,58,Male,35,24-01-2025
7,Fina Merali,48,Female,6,17-06-2023
8,Rod Inder,62,Male,31,09-09-2024
9,Mala Lind,51,Female,97,22-11-2023
10,Fiorenze Birdall,36,Female,49,13-05-2024
11,Uriah Bisatt,70,Male,99,09-08-2023
12,Sawyere Flattman,30,Male,58,13-12-2024
13,Gabriele Norcross,70,Male,38,27-10-2023
14,Rayshell Kitteman,41,Female,85,16-12-2024
15,Erroll Radage,24,Male,91,24-07-2024
16,Harlin Parr,47,Male,38,23-08-2024
17,Heath Faraday,62,Male,57,05-04-2023
18,Marjie Neasham,57,Female,79,19-08-2024
19,Sorcha Keyson,23,Female,76,14-06-2023
20,Basile Firth,44,Male,72,30-05-2024
21,Mile Cammocke,44,Male,74,26-04-2023
22,Deeanne Durtnell,62,Female,79,01-03-2023
23,Olav Polak,30,Male,43,09-08-2023
24,Kim Skpsey,47,Female,55,01-05-2024
25,Geoff Assaf,48,Male,72,09-05-2023
26,Trixi Ginnelly,46,Female,12,19-05-2024
27,Garvin Klees,46,Male,37,09-02-2024
28,Fee Zellmer,51,Male,5,15-03-2023
29,Mona Sancraft,56,Female,62,03-01-2024
30,Darrick Helleckas,63,Male,18,12-02-2024
31,Star Praton,62,Female,3,11-06-2023
32,Marion Vanichkin,29,Female,17,06-12-2023
33,Ernst Hacon,67,Male,44,16-01-2025
34,Jephthah Bachmann,#VALUE!,U,59,14-05-2023
35,Margaretha Strettle,61,Female,40,11-07-2023
36,Lurette Stonnell,47,Female,33,24-06-2023
37,Laurie Dwerryhouse,39,Female,46,12-11-2024
38,Cordi Merman,69,Female,37,13-02-2024
39,Hunfredo Smalley,45,Male,5,19-02-2023
40,Tomasine Jerche,43,Female,91,21-11-2023
41,Basilius Coupe,48,Male,64,30-01-2025
42,Chiquita Durnall,47,Female,24,26-01-2024
43,Indira Belt,41,Female,38,25-10-2024
44,Neron Verick,43,Male,63,01-02-2025
45,Trace Woodhead,49,Male,64,02-12-2023
46,Kaila Allin,52,Female,98,25-06-2024
47,Matthew Jeaycock,32,Male,51,30-06-2024
48,Rebbecca Casone,49,Female,46,13-05-2024
49,Nolly Ownsworth,31,Male,63,02-05-2023
50,Whitby Schapero,44,Male,38,06-08-2024
51,Fidelio Dilke,65,Male,68,22-04-2024
52,Curran Bentson,36,Male,57,29-03-2023
53,Agnella Gocke,70,Female,22,22-12-2023
54,Loralyn Wonfor,58,Female,2,27-09-2024
55,Linc Jillions,68,Male,48,23-12-2023
56,Reese Ensor,28,Male,44,09-04-2024
57,Abba Masedon,36,Male,87,12-01-2025
58,Dalenna Pinnock,57,Female,26,27-02-2024
59,Niki Heathcote,25,Male,60,16-06-2024
60,Nadiya Champerlen,55,Female,18,19-05-2023
61,Kacey Rowbottom,65,Female,47,20-11-2024
62,Sorcha Roggers,45,Female,38,14-09-2023
63,Ebony Zini,59,Female,58,22-04-2024
64,Gerek Yve,46,Male,73,23-12-2023
65,Yale Tanser,48,Male,21,07-08-2024
66,Anselm Gawne,22,Male,46,23-07-2023
67,Vernon ,64,Male,67,02-03-2024
68,Dahlia Eddoes,50,Female,37,25-05-2024
69,Heidi Milner,55,Female,16,15-11-2023
70,Foster Vannoort,31,Male,78,05-05-2023
71,Hoyt Glavias,40,Male,30,09-04-2023
72,Sammy Cheese,53,Male,93,26-12-2023
73,Minette Worters,64,Female,16,06-05-2023
74,Pansy Kiddie,55,Female,94,09-12-2023
75,Dollie Sealy,46,Female,28,13-02-2024
76,Rea Hasser,47,Female,20,11-11-2023
77,Shermie Andrin,35,Male,79,04-01-2024
78,Arch Van der Kruis,39,Male,37,07-01-2025
79,Tybi Silliman,56,Female,76,17-10-2023
80,Pablo Small,46,Male,11,04-12-2023
81,Bee Blazewicz,38,Female,58,06-11-2024
82,Gleda Cokely,59,Female,93,23-01-2025
83,Kerr Simmell,57,Male,97,05-01-2024
84,Rich Mathiasen,67,Male,78,11-01-2025
85,Kane Tixall,66,Male,1,23-02-2024
86,Job Sleney,35,Male,75,25-08-2023
87,Fields Langdon,50,Male,78,03-06-2024
